É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/04 19:09:16

,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá
2015/8/13,23.8,8,1,27.7,8,1,21.6,8,1,2.5,8,1
2015/8/14,24.3,8,1,29.9,8,1,19.9,8,1,0.0,8,1
2015/8/15,24.5,8,1,31.9,8,1,18.7,8,1,0.0,8,1
2015/8/16,24.8,8,1,31.0,8,1,18.9,8,1,0.0,8,1
2015/8/17,23.2,8,1,26.2,8,1,20.5,8,1,70.5,8,1
2015/8/18,24.3,8,1,30.8,8,1,18.7,8,1,0.0,8,1
2015/8/19,23.3,8,1,25.0,8,1,20.9,8,1,12.0,8,1
2015/8/20,24.6,8,1,28.8,8,1,22.6,8,1,10.0,8,1
2015/8/21,24.9,8,1,27.8,8,1,22.6,8,1,2.5,8,1
2015/8/22,25.7,8,1,30.6,8,1,21.2,8,1,1.0,8,1
2015/8/23,24.5,8,1,31.8,8,1,18.4,8,1,0.0,8,1
2015/8/24,23.6,8,1,29.0,8,1,18.4,8,1,0.0,8,1
2015/8/25,23.8,8,1,26.9,8,1,21.6,8,1,48.5,8,1
2015/8/26,22.2,8,1,26.0,8,1,18.0,8,1,0.0,8,1
2015/8/27,22.7,8,1,29.8,8,1,16.3,8,1,0.0,8,1
2015/8/28,22.8,8,1,28.1,8,1,19.7,8,1,0.0,8,1
2015/8/29,22.2,8,1,28.0,8,1,18.6,8,1,20.5,8,1
2015/8/30,23.1,8,1,27.1,8,1,20.6,8,1,16.5,8,1
2015/8/31,21.1,8,1,23.1,8,1,19.1,8,1,48.5,8,1
2015/9/1,22.4,8,1,26.0,8,1,21.4,8,1,42.5,8,1
2015/9/2,22.9,8,1,27.3,8,1,18.9,8,1,1.0,8,1
2015/9/3,22.4,8,1,26.6,8,1,19.5,8,1,0.0,8,1
2015/9/4,22.5,8,1,27.9,8,1,18.6,8,1,0.0,8,1
2015/9/5,21.2,8,1,25.7,8,1,16.4,8,1,2.0,8,1
2015/9/6,19.8,8,1,21.6,8,1,18.0,8,1,71.0,8,1
2015/9/7,21.4,8,1,24.8,8,1,19.6,8,1,0.0,8,1
2015/9/8,21.7,8,1,25.0,8,1,19.0,8,1,2.5,8,1
2015/9/9,20.8,8,1,23.6,8,1,19.3,8,1,11.5,8,1
2015/9/10,20.6,8,1,24.7,8,1,15.7,8,1,0.0,8,1
2015/9/11,19.5,8,1,26.3,8,1,12.5,8,1,0.0,8,1
2015/9/12,19.9,8,1,24.5,8,1,15.0,8,1,0.0,8,1
2015/9/13,20.0,8,1,26.3,8,1,15.7,8,1,0.0,8,1
2015/9/14,18.4,8,1,25.0,8,1,11.7,8,1,0.0,8,1
2015/9/15,18.4,8,1,24.1,8,1,11.6,8,1,0.0,8,1
2015/9/16,19.1,8,1,22.6,8,1,17.1,8,1,12.0,8,1
2015/9/17,19.5,8,1,23.3,8,1,17.3,8,1,12.0,8,1
2015/9/18,20.1,8,1,26.0,8,1,15.9,8,1,0.0,8,1
2015/9/19,19.1,8,1,25.6,8,1,11.9,8,1,0.0,8,1
2015/9/20,18.8,8,1,25.6,8,1,11.8,8,1,0.0,8,1
2015/9/21,18.5,8,1,25.5,8,1,13.7,8,1,0.0,8,1
2015/9/22,18.6,8,1,26.4,8,1,11.4,8,1,0.0,8,1
2015/9/23,20.2,8,1,27.1,8,1,13.6,8,1,0.5,8,1
2015/9/24,19.5,8,1,21.1,8,1,17.8,8,1,27.0,8,1
2015/9/25,21.1,8,1,24.0,8,1,19.0,8,1,0.0,8,1
2015/9/26,22.3,8,1,27.6,8,1,18.7,8,1,0.0,8,1
2015/9/27,21.2,8,1,28.1,8,1,15.4,8,1,0.0,8,1
2015/9/28,20.3,8,1,28.1,8,1,13.4,8,1,0.0,8,1
2015/9/29,20.0,8,1,27.9,8,1,12.7,8,1,0.0,8,1
2015/9/30,17.1,8,1,21.5,8,1,11.6,8,1,0.0,8,1
2015/10/1,18.7,8,1,24.9,8,1,15.5,8,1,49.5,8,1
2015/10/2,18.9,8,1,24.7,8,1,12.4,8,1,1.0,8,1
2015/10/3,15.9,8,1,24.1,8,1,8.8,8,1,0.0,8,1
2015/10/4,16.3,8,1,24.0,8,1,10.0,8,1,0.0,8,1
2015/10/5,13.8,8,1,18.4,8,1,8.7,8,1,0.0,8,1
2015/10/6,14.4,8,1,21.9,8,1,7.0,8,1,0.0,8,1
2015/10/7,15.2,8,1,23.7,8,1,7.2,8,1,0.0,8,1
2015/10/8,15.2,8,1,22.1,8,1,8.0,8,1,0.0,8,1
2015/10/9,15.3,8,1,23.3,8,1,8.5,8,1,0.0,8,1
2015/10/10,13.4,8,1,19.1,8,1,8.3,8,1,0.0,8,1
2015/10/11,14.4,8,1,20.5,8,1,7.4,8,1,0.0,8,1
2015/10/12,12.9,8,1,19.6,8,1,6.6,8,1,0.0,8,1
2015/10/13,14.1,8,1,20.9,8,1,6.9,8,1,0.0,8,1
2015/10/14,12.8,8,1,22.8,8,1,3.9,8,1,0.0,8,1
2015/10/15,13.5,8,1,22.4,8,1,6.8,8,1,0.0,8,1
2015/10/16,14.2,8,1,24.4,8,1,5.9,8,1,0.0,8,1
2015/10/17,14.1,8,1,23.7,8,1,6.0,8,1,0.0,8,1
2015/10/18,15.3,8,1,26.5,8,1,7.0,8,1,0.0,8,1
2015/10/19,14.9,8,1,24.5,8,1,7.3,8,1,0.0,8,1
2015/10/20,15.7,8,1,25.0,8,1,7.8,8,1,0.0,8,1
2015/10/21,15.8,8,1,25.0,8,1,9.0,8,1,0.0,8,1
2015/10/22,14.3,8,1,22.8,8,1,6.2,8,1,0.0,8,1
2015/10/23,14.1,8,1,23.5,8,1,6.8,8,1,0.0,8,1
2015/10/24,16.4,8,1,24.3,8,1,8.5,8,1,0.0,8,1
2015/10/25,13.9,8,1,19.5,8,1,6.0,8,1,0.0,8,1
2015/10/26,10.4,8,1,19.6,8,1,3.0,8,1,0.0,8,1
2015/10/27,14.1,8,1,20.0,8,1,6.3,8,1,5.5,8,1
2015/10/28,13.7,8,1,18.9,8,1,7.1,8,1,0.0,8,1
2015/10/29,11.0,8,1,17.9,8,1,4.3,8,1,0.0,8,1
2015/10/30,12.2,8,1,18.2,8,1,7.8,8,1,0.0,8,1
2015/10/31,8.8,8,1,16.4,8,1,2.1,8,1,0.0,8,1
2015/11/1,8.8,8,1,13.6,8,1,1.7,8,1,5.0,8,1
2015/11/2,10.8,8,1,16.6,8,1,5.5,8,1,20.5,8,1
2015/11/3,11.1,8,1,19.2,8,1,5.0,8,1,0.0,8,1
2015/11/4,10.8,8,1,20.3,8,1,3.1,8,1,0.0,8,1
2015/11/5,12.1,8,1,15.9,8,1,6.3,8,1,1.5,8,1
2015/11/6,15.3,8,1,23.2,8,1,9.4,8,1,0.0,8,1
2015/11/7,16.1,8,1,19.4,8,1,12.1,8,1,8.0,8,1
2015/11/8,17.5,8,1,21.2,8,1,15.6,8,1,9.0,8,1
2015/11/9,17.5,8,1,19.4,8,1,15.4,8,1,1.5,8,1
2015/11/10,13.8,8,1,18.5,8,1,8.2,8,1,0.0,8,1
2015/11/11,10.8,8,1,17.1,8,1,5.3,8,1,0.0,8,1
2015/11/12,10.5,8,1,18.1,8,1,4.8,8,1,0.0,8,1
2015/11/13,11.5,8,1,13.8,8,1,8.2,8,1,22.5,8,1
2015/11/14,15.5,8,1,16.8,8,1,13.6,8,1,22.0,8,1
2015/11/15,14.9,8,1,19.7,8,1,8.2,8,1,1.5,8,1
2015/11/16,13.0,8,1,19.9,8,1,5.3,8,1,0.0,8,1
2015/11/17,14.9,8,1,16.6,8,1,13.2,8,1,32.0,8,1
2015/11/18,15.3,8,1,16.0,8,1,14.4,8,1,35.0,8,1
2015/11/19,12.8,8,1,15.5,8,1,9.2,8,1,0.5,8,1
2015/11/20,11.9,8,1,19.2,8,1,6.2,8,1,0.0,8,1
2015/11/21,12.3,8,1,17.9,8,1,7.0,8,1,0.0,8,1
2015/11/22,13.1,8,1,19.1,8,1,9.9,8,1,0.0,8,1
2015/11/23,13.6,8,1,19.3,8,1,8.2,8,1,0.0,8,1
2015/11/24,12.4,8,1,15.9,8,1,7.7,8,1,1.0,8,1
2015/11/25,8.3,8,1,9.5,8,1,7.2,8,1,5.5,8,1
2015/11/26,7.5,8,1,10.6,8,1,3.6,8,1,0.0,8,1
2015/11/27,4.6,8,1,9.7,8,1,0.8,8,1,0.0,8,1
2015/11/28,6.7,8,1,11.1,8,1,1.8,8,1,0.0,8,1
2015/11/29,5.3,8,1,11.0,8,1,-0.1,8,1,0.0,8,1
2015/11/30,6.5,8,1,15.3,8,1,-0.4,8,1,0.0,8,1
2015/12/1,6.9,8,1,15.5,8,1,0.7,8,1,0.0,8,1
2015/12/2,7.7,8,1,14.0,8,1,0.1,8,1,14.5,8,1
2015/12/3,8.8,8,1,11.5,8,1,5.1,8,1,6.0,8,1
2015/12/4,5.3,8,1,8.9,8,1,0.6,8,1,0.0,8,1
2015/12/5,5.4,8,1,11.9,8,1,-1.0,8,1,0.0,8,1
2015/12/6,6.8,8,1,11.1,8,1,3.5,8,1,0.0,8,1
2015/12/7,6.0,8,1,14.4,8,1,0.0,8,1,0.0,8,1
